BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
AguasFrias,1.0,1.0,2.0,1.0,2.0,2.0,6.0,0.0,5.0,3.0,6.0,7.0,1.0,3.0,3.0,4.0,0.0,5.0,1.0,3.0,8.0,6.0,4.0,4.0
AldeaPabloVI,3.0,3.0,0.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,0.0
Alejandria,3.0,11.0,3.0,4.0,8.0,4.0,23.0,17.0,24.0,26.0,23.0,28.0,18.0,18.0,28.0,26.0,21.0,16.0,12.0,17.0,14.0,9.0,13.0,4.0
AlejandroEchavarria,14.0,13.0,21.0,9.0,19.0,18.0,40.0,49.0,36.0,26.0,29.0,31.0,47.0,19.0,23.0,35.0,28.0,39.0,40.0,40.0,35.0,24.0,21.0,15.0
AlfonsoLopez,13.0,13.0,6.0,18.0,16.0,34.0,76.0,66.0,54.0,48.0,33.0,46.0,53.0,47.0,48.0,53.0,45.0,58.0,50.0,53.0,45.0,40.0,26.0,21.0
Altamira,4.0,11.0,7.0,11.0,7.0,29.0,59.0,57.0,40.0,32.0,33.0,24.0,39.0,32.0,39.0,28.0,31.0,28.0,35.0,31.0,38.0,20.0,15.0,7.0
Altavista,5.0,6.0,4.0,1.0,2.0,10.0,17.0,20.0,18.0,10.0,19.0,14.0,21.0,12.0,20.0,11.0,9.0,23.0,15.0,15.0,21.0,10.0,10.0,7.0
AltavistaSectorCentral,0.0,2.0,2.0,2.0,2.0,5.0,9.0,7.0,4.0,9.0,6.0,7.0,8.0,4.0,4.0,0.0,6.0,4.0,2.0,7.0,9.0,9.0,2.0,3.0
AltosdelPoblado,2.0,3.0,1.0,4.0,5.0,6.0,9.0,23.0,16.0,6.0,6.0,17.0,21.0,7.0,15.0,10.0,10.0,21.0,12.0,11.0,10.0,3.0,4.0,2.0
Andalucia,0.0,5.0,3.0,5.0,2.0,6.0,10.0,12.0,9.0,7.0,11.0,5.0,13.0,5.0,16.0,7.0,15.0,15.0,11.0,10.0,8.0,8.0,8.0,6.0
AntonioNariño,3.0,2.0,4.0,2.0,5.0,8.0,16.0,11.0,8.0,10.0,18.0,11.0,13.0,11.0,8.0,8.0,12.0,16.0,14.0,9.0,9.0,6.0,4.0,3.0
Aranjuez,8.0,1.0,5.0,7.0,3.0,5.0,17.0,20.0,15.0,14.0,17.0,15.0,20.0,19.0,15.0,15.0,13.0,15.0,21.0,18.0,10.0,17.0,18.0,6.0
